payment_id,order_id,amount,currency,status,payment_ref
pay_00001,ord_00001,4999,INR,captured,ord_00001
pay_00002,ord_00002,499,INR,captured,ord_00002
pay_00003,ord_00003,499,INR,captured,ord_00003
pay_00004,ord_00004,4999,INR,captured,ord_00004
pay_00005,ord_00005,999,INR,captured,ord_00005
pay_00006,ord_00006,799,INR,captured,ord_00006
pay_00007,ord_00007,799,INR,captured,ord_00007
pay_00008,ord_00008,799,INR,captured,ord_00008
pay_00009,ord_00009,4999,INR,captured,ord_00009
pay_00010,ord_00010,499,INR,captured,ord_00010
pay_00011,ord_00011,4999,INR,captured,ord_00011
pay_00012,ord_00012,4999,INR,captured,ord_00012
pay_00013,ord_00013,2499,INR,captured,ord_00013
pay_00014,ord_00014,499,INR,captured,ord_00014
pay_00015,ord_00015,2499,INR,captured,ord_00015
pay_00016,ord_00016,1499,INR,captured,ord_00016
pay_00017,ord_00017,499,INR,captured,ord_00017
pay_00018,ord_00018,499,INR,captured,ord_00018
pay_00019,ord_00019,499,INR,captured,ord_00019
pay_00020,ord_00020,799,INR,captured,ord_00020
pay_00021,ord_00021,799,INR,captured,ord_00021
pay_00022,ord_00022,2499,INR,captured,ord_00022
pay_00023,ord_00023,2499,INR,captured,ord_00023
pay_00024,ord_00024,499,INR,captured,ord_00024
pay_00025,ord_00025,2499,INR,captured,ord_00025
pay_00026,ord_00026,799,INR,captured,ord_00026
pay_00027,ord_00027,4999,INR,captured,ord_00027
pay_00028,ord_00028,4999,INR,captured,ord_00028
pay_00029,ord_00029,4999,INR,captured,ord_00029
pay_00030,ord_00030,2499,INR,captured,ord_00030
pay_00031,ord_00031,1499,INR,captured,ord_00031
pay_00032,ord_00032,799,INR,captured,ord_00032
pay_00033,ord_00033,1499,INR,captured,ord_00033
pay_00034,ord_00034,2499,INR,captured,ord_00034
pay_00035,ord_00035,999,INR,captured,ord_00035
pay_00036,ord_00036,499,INR,captured,ord_00036
pay_00037,ord_00037,799,INR,captured,ord_00037
pay_00038,ord_00038,4999,INR,captured,ord_00038
pay_00039,ord_00039,1499,INR,captured,ord_00039
pay_00040,ord_00040,999,INR,captured,ord_00040
pay_00041,ord_00041,999,INR,captured,ord_00041
pay_00042,ord_00042,799,INR,captured,ord_00042
pay_00043,ord_00043,799,INR,captured,ord_00043
pay_00044,ord_00044,999,INR,captured,ord_00044
pay_00045,ord_00045,499,INR,captured,ord_00045
pay_00046,ord_00046,499,INR,captured,ord_00046
pay_00047,ord_00047,1499,INR,captured,ord_00047
pay_00048,ord_00048,499,INR,captured,ord_00048
pay_00049,ord_00049,999,INR,captured,ord_00049
pay_00050,ord_00050,999,INR,captured,ord_00050
pay_00051,ord_00051,2499,INR,captured,ord_00051
pay_00052,ord_00052,999,INR,captured,ord_00052
pay_00053,ord_00053,499,INR,captured,ord_00053
pay_00054,ord_00054,4999,INR,captured,ord_00054
pay_00055,ord_00055,1499,INR,captured,ord_00055
pay_00056,ord_00056,2499,INR,captured,ord_00056
pay_00057,ord_00057,499,INR,captured,ord_00057
pay_00058,ord_00058,1499,INR,captured,ord_00058
pay_00059,ord_00059,499,INR,captured,ord_00059
pay_00060,ord_00060,2499,INR,captured,ord_00060
pay_00061,ord_00061,999,INR,captured,ord_00061
pay_00062,ord_00062,4999,INR,captured,ord_00062
pay_00063,ord_00063,2499,INR,captured,ord_00063
pay_00064,ord_00064,999,INR,captured,ord_00064
pay_00065,ord_00065,2499,INR,captured,ord_00065
pay_00066,ord_00066,799,INR,captured,ord_00066
pay_00067,ord_00067,4999,INR,captured,ord_00067
pay_00068,ord_00068,499,INR,captured,ord_00068
pay_00069,ord_00069,499,INR,captured,ord_00069
pay_00070,ord_00070,4999,INR,captured,ord_00070
pay_00071,ord_00071,799,INR,captured,ord_00071
pay_00072,ord_00072,999,INR,captured,ord_00072
pay_00073,ord_00073,499,INR,captured,ord_00073
pay_00074,ord_00074,799,INR,captured,ord_00074
pay_00075,ord_00075,499,INR,captured,ord_00075
pay_00076,ord_00076,1499,INR,captured,ord_00076
pay_00077,ord_00077,999,INR,captured,ord_00077
pay_00078,ord_00078,1499,INR,captured,ord_00078
pay_00079,ord_00079,4999,INR,captured,ord_00079
pay_00080,ord_00080,999,INR,captured,ord_00080
pay_00081,ord_00081,799,INR,captured,ord_00081
pay_00082,ord_00082,999,INR,captured,ord_00082
