settlement_id,payment_id,gross_amount,fee,tax,net_amount,currency
set_00001,pay_00001,4999,99.98,18.0,4881.02,INR
set_00002,pay_00002,499,9.98,1.8,487.22,INR
set_00003,pay_00003,499,9.98,1.8,487.22,INR
set_00004,pay_00004,4999,99.98,18.0,4881.02,INR
set_00005,pay_00005,999,19.98,3.6,975.42,INR
set_00006,pay_00006,799,15.98,2.88,780.14,INR
set_00007,pay_00007,799,15.98,2.88,780.14,INR
set_00008,pay_00008,799,15.98,2.88,780.14,INR
set_00009,pay_00009,4999,99.98,18.0,4881.02,INR
set_00010,pay_00010,499,9.98,1.8,487.22,INR
set_00011,pay_00011,4999,99.98,18.0,4881.02,INR
set_00012,pay_00012,4999,99.98,18.0,4881.02,INR
set_00013,pay_00013,2499,49.98,9.0,2440.02,INR
set_00014,pay_00014,499,9.98,1.8,487.22,INR
set_00015,pay_00015,2499,49.98,9.0,2440.02,INR
set_00016,pay_00016,1499,29.98,5.4,1463.62,INR
set_00017,pay_00017,499,9.98,1.8,487.22,INR
set_00018,pay_00018,499,9.98,1.8,487.22,INR
set_00019,pay_00019,499,9.98,1.8,487.22,INR
set_00020,pay_00020,799,15.98,2.88,780.14,INR
set_00021,pay_00021,799,15.98,2.88,780.14,INR
set_00022,pay_00022,2499,49.98,9.0,2440.02,INR
set_00023,pay_00023,2499,49.98,9.0,2440.02,INR
set_00024,pay_00024,499,9.98,1.8,487.22,INR
set_00025,pay_00025,2499,49.98,9.0,2440.02,INR
set_00026,pay_00026,799,15.98,2.88,780.14,INR
set_00027,pay_00027,4999,99.98,18.0,4881.02,INR
set_00028,pay_00028,4999,99.98,18.0,4881.02,INR
set_00029,pay_00029,4999,99.98,18.0,4881.02,INR
set_00030,pay_00030,2499,49.98,9.0,2440.02,INR
set_00031,pay_00031,1499,29.98,5.4,1463.62,INR
set_00032,pay_00032,799,15.98,2.88,780.14,INR
set_00033,pay_00033,1499,29.98,5.4,1463.62,INR
set_00034,pay_00034,2499,49.98,9.0,2440.02,INR
set_00035,pay_00035,999,19.98,3.6,975.42,INR
set_00036,pay_00036,499,9.98,1.8,487.22,INR
set_00037,pay_00037,799,15.98,2.88,780.14,INR
set_00038,pay_00038,4999,99.98,18.0,4881.02,INR
set_00039,pay_00039,1499,29.98,5.4,1463.62,INR
set_00040,pay_00040,999,19.98,3.6,975.42,INR
set_00041,pay_00041,999,19.98,3.6,975.42,INR
set_00042,pay_00042,799,15.98,2.88,780.14,INR
set_00043,pay_00043,799,15.98,2.88,780.14,INR
set_00044,pay_00044,999,19.98,3.6,975.42,INR
set_00045,pay_00045,499,9.98,1.8,487.22,INR
set_00046,pay_00046,499,9.98,1.8,487.22,INR
set_00047,pay_00047,1499,29.98,5.4,1463.62,INR
set_00048,pay_00048,499,9.98,1.8,487.22,INR
set_00049,pay_00049,999,19.98,3.6,975.42,INR
set_00050,pay_00050,999,19.98,3.6,975.42,INR
set_00051,pay_00051,2499,49.98,9.0,2440.02,INR
set_00052,pay_00052,999,19.98,3.6,975.42,INR
set_00053,pay_00053,499,9.98,1.8,487.22,INR
set_00054,pay_00054,4999,99.98,18.0,4881.02,INR
set_00055,pay_00055,1499,29.98,5.4,1463.62,INR
set_00056,pay_00056,2499,49.98,9.0,2440.02,INR
set_00057,pay_00057,499,9.98,1.8,487.22,INR
set_00058,pay_00058,1499,29.98,5.4,1463.62,INR
set_00059,pay_00059,499,9.98,1.8,487.22,INR
set_00060,pay_00060,2499,49.98,9.0,2440.02,INR
set_00061,pay_00061,999,19.98,3.6,975.42,INR
set_00062,pay_00062,4999,99.98,18.0,4881.02,INR
set_00063,pay_00063,2499,49.98,9.0,2440.02,INR
set_00064,pay_00064,999,19.98,3.6,975.42,INR
set_00065,pay_00065,2499,49.98,9.0,2440.02,INR
set_00066,pay_00066,799,15.98,2.88,780.14,INR
set_00067,pay_00067,4999,99.98,18.0,4881.02,INR
set_00068,pay_00068,499,9.98,1.8,487.22,INR
set_00069,pay_00069,499,9.98,1.8,487.22,INR
set_00070,pay_00070,4999,99.98,18.0,4881.02,INR
set_00071,pay_00071,799,15.98,2.88,780.14,INR
set_00072,pay_00072,999,19.98,3.6,975.42,INR
set_00073,pay_00073,499,9.98,1.8,487.22,INR
set_00074,pay_00074,799,15.98,2.88,780.14,INR
set_00075,pay_00075,499,9.98,1.8,487.22,INR
set_00076,pay_00076,1499,29.98,5.4,1463.62,INR
set_00077,pay_00077,999,19.98,3.6,975.42,INR
set_00078,pay_00078,1499,29.98,5.4,1463.62,INR
set_00079,pay_00079,4999,99.98,18.0,4881.02,INR
set_00080,pay_00080,999,19.98,3.6,975.42,INR
set_00081,pay_00081,799,15.98,2.88,780.14,INR
set_00082,pay_00082,999,19.98,3.6,975.42,INR
set_00083,pay_00083,999,19.98,3.6,975.42,INR
set_00084,pay_00084,799,15.98,2.88,780.14,INR
set_00085,pay_00085,4999,99.98,18.0,4881.02,INR
set_00086,pay_00086,999,19.98,3.6,975.42,INR
set_00087,pay_00087,4999,99.98,18.0,4881.02,INR
set_00088,pay_00088,4999,99.98,18.0,4881.02,INR
set_00089,pay_00089,4999,99.98,18.0,4881.02,INR
set_00090,pay_00090,499,9.98,1.8,487.22,INR
set_00091,pay_00091,2499,49.98,9.0,2440.02,INR
set_00092,pay_00092,4999,99.98,18.0,4881.02,INR
set_00093,pay_00093,799,15.98,2.88,780.14,INR
set_00094,pay_00094,2499,49.98,9.0,2440.02,INR
set_00095,pay_00095,4999,99.98,18.0,4881.02,INR
set_00096,pay_00096,799,15.98,2.88,780.14,INR
set_00097,pay_00097,799,15.98,2.88,780.14,INR
set_00098,pay_00098,1499,29.98,5.4,1463.62,INR
set_00099,pay_00099,1499,29.98,5.4,1463.62,INR
set_00100,pay_00100,999,19.98,3.6,975.42,INR
set_00101,pay_00101,4999,99.98,18.0,4881.02,INR
set_00102,pay_00102,4999,99.98,18.0,4881.02,INR
set_00103,pay_00103,2499,49.98,9.0,2440.02,INR
set_00104,pay_00104,799,15.98,2.88,780.14,INR
set_00105,pay_00105,4999,99.98,18.0,4881.02,INR
set_00106,pay_00106,999,19.98,3.6,975.42,INR
set_00107,pay_00107,499,9.98,1.8,487.22,INR
set_00108,pay_00108,799,15.98,2.88,780.14,INR
set_00109,pay_00109,499,9.98,1.8,487.22,INR
