transaction_id,payment_id,ledger_id,settlement_id,expected_status
txn_00001,pay_00001,,set_00001,MISSING_LEDGER
txn_00002,pay_00002,ledger_00002,set_00002,MATCH
txn_00003,pay_00003,ledger_00003,set_00003,DUPLICATE_LEDGER
txn_00004,pay_00004,ledger_00004,set_00004,TIMESTAMP_DRIFT
txn_00005,pay_00005,ledger_00005,set_00005,MATCH
txn_00006,pay_00006,ledger_00006,set_00006,MATCH
txn_00007,pay_00007,ledger_00007,set_00007,MATCH
txn_00008,pay_00008,,set_00008,MISSING_LEDGER
txn_00009,pay_00009,ledger_00009,set_00009,MATCH
txn_00010,pay_00010,ledger_00010,set_00010,MATCH
txn_00011,pay_00011,ledger_00011,set_00011,MATCH
txn_00012,pay_00012,,set_00012,MISSING_LEDGER
txn_00013,pay_00013,ledger_00013,set_00013,MATCH
txn_00014,pay_00014,ledger_00014,set_00014,MATCH
txn_00015,pay_00015,ledger_00015,set_00015,AMOUNT_MISMATCH
txn_00016,pay_00016,ledger_00016,set_00016,MATCH
txn_00017,pay_00017,,set_00017,MISSING_LEDGER
txn_00018,pay_00018,ledger_00018,set_00018,MATCH
txn_00019,pay_00019,ledger_00019,set_00019,AMOUNT_MISMATCH
txn_00020,pay_00020,ledger_00020,set_00020,MATCH
txn_00021,pay_00021,ledger_00021,set_00021,MATCH
txn_00022,pay_00022,,set_00022,MISSING_LEDGER
txn_00023,pay_00023,ledger_00023,set_00023,MATCH
txn_00024,pay_00024,ledger_00024,set_00024,MATCH
txn_00025,pay_00025,ledger_00025,set_00025,MATCH
txn_00026,pay_00026,ledger_00026,set_00026,MATCH
txn_00027,pay_00027,ledger_00027,set_00027,MATCH
txn_00028,pay_00028,ledger_00028,set_00028,MATCH
txn_00029,pay_00029,ledger_00029,set_00029,MATCH
txn_00030,pay_00030,,set_00030,MISSING_LEDGER
txn_00031,pay_00031,ledger_00031,set_00031,MATCH
txn_00032,pay_00032,ledger_00032,set_00032,TIMESTAMP_DRIFT
txn_00033,pay_00033,,set_00033,MISSING_LEDGER
txn_00034,pay_00034,ledger_00034,set_00034,MATCH
txn_00035,pay_00035,ledger_00035,set_00035,TIMESTAMP_DRIFT
txn_00036,pay_00036,ledger_00036,set_00036,MATCH
txn_00037,pay_00037,ledger_00037,set_00037,MATCH
txn_00038,pay_00038,ledger_00038,set_00038,AMOUNT_MISMATCH
txn_00039,pay_00039,ledger_00039,set_00039,MATCH
txn_00040,pay_00040,ledger_00040,set_00040,MATCH
txn_00041,pay_00041,ledger_00041,set_00041,MATCH
txn_00042,pay_00042,ledger_00042,set_00042,MATCH
txn_00043,pay_00043,,set_00043,MISSING_LEDGER
txn_00044,pay_00044,ledger_00044,set_00044,MATCH
txn_00045,pay_00045,ledger_00045,set_00045,MATCH
txn_00046,pay_00046,,set_00046,MISSING_LEDGER
txn_00047,pay_00047,ledger_00047,set_00047,MATCH
txn_00048,pay_00048,ledger_00048,set_00048,MATCH
txn_00049,pay_00049,ledger_00049,set_00049,AMOUNT_MISMATCH
txn_00050,pay_00050,ledger_00050,set_00050,MATCH
txn_00051,pay_00051,ledger_00051,set_00051,MATCH
txn_00052,pay_00052,ledger_00052,set_00052,REFERENCE_CORRUPTION
txn_00053,pay_00053,ledger_00053,set_00053,MATCH
txn_00054,pay_00054,ledger_00054,set_00054,MATCH
txn_00055,pay_00055,ledger_00055,set_00055,MATCH
txn_00056,pay_00056,ledger_00056,set_00056,MATCH
txn_00057,pay_00057,ledger_00057,set_00057,AMOUNT_MISMATCH
txn_00058,pay_00058,,set_00058,MISSING_LEDGER
txn_00059,pay_00059,ledger_00059,set_00059,MATCH
txn_00060,pay_00060,ledger_00060,set_00060,MATCH
txn_00061,pay_00061,ledger_00061,set_00061,MATCH
txn_00062,pay_00062,ledger_00062,set_00062,MATCH
txn_00063,pay_00063,ledger_00063,set_00063,MATCH
txn_00064,pay_00064,ledger_00064,set_00064,MATCH
txn_00065,pay_00065,ledger_00065,set_00065,MATCH
txn_00066,pay_00066,ledger_00066,set_00066,DUPLICATE_LEDGER
txn_00067,pay_00067,ledger_00067,set_00067,MATCH
txn_00068,pay_00068,ledger_00068,set_00068,MATCH
txn_00069,pay_00069,ledger_00069,set_00069,MATCH
txn_00070,pay_00070,ledger_00070,set_00070,MATCH
txn_00071,pay_00071,ledger_00071,set_00071,MATCH
txn_00072,pay_00072,ledger_00072,set_00072,MATCH
txn_00073,pay_00073,ledger_00073,set_00073,MATCH
txn_00074,pay_00074,ledger_00074,set_00074,MATCH
txn_00075,pay_00075,ledger_00075,set_00075,MATCH
txn_00076,pay_00076,ledger_00076,set_00076,DUPLICATE_LEDGER
txn_00077,pay_00077,ledger_00077,set_00077,AMOUNT_MISMATCH
txn_00078,pay_00078,ledger_00078,set_00078,DUPLICATE_LEDGER
txn_00079,pay_00079,ledger_00079,set_00079,MATCH
txn_00080,pay_00080,ledger_00080,set_00080,DUPLICATE_LEDGER
txn_00081,pay_00081,,set_00081,MISSING_LEDGER
txn_00082,pay_00082,ledger_00082,set_00082,MATCH
txn_00083,pay_00083,ledger_00083,set_00083,MATCH
txn_00084,,ledger_00084,set_00084,MISSING_PAYMENT
txn_00085,pay_00085,ledger_00085,set_00085,MATCH
txn_00086,pay_00086,,set_00086,MISSING_LEDGER
txn_00087,pay_00087,ledger_00087,set_00087,DUPLICATE_LEDGER
txn_00088,pay_00088,ledger_00088,set_00088,MATCH
txn_00089,pay_00089,ledger_00089,set_00089,MATCH
txn_00090,pay_00090,ledger_00090,set_00090,MATCH
