transaction_id,ledger_id,order_ref,amount,currency,status,recorded_at
txn_00002,ledger_00002,order_00002,11800.82,INR,paid,2026-08-02T11:39:30
txn_00003,ledger_00003,order_00003,5863.76,INR,paid,2026-08-13T20:48:30
txn_00003,ledger_00003,order_00003,5863.76,INR,paid,2026-08-13T20:48:30
txn_00004,ledger_00004,order_00004,17604.39,INR,paid,2026-08-21T23:55:00
txn_00005,ledger_00005,order_00005,1872.38,INR,paid,2026-08-11T14:57:30
txn_00006,ledger_00006,order_00006,23105.39,INR,paid,2026-08-29T10:43:30
txn_00007,ledger_00007,order_00007,14785.76,INR,paid,2026-08-10T00:04:30
txn_00009,ledger_00009,order_00009,5697.76,INR,paid,2026-08-07T18:44:30
txn_00010,ledger_00010,order_00010,22719.44,INR,paid,2026-08-07T11:21:30
txn_00011,ledger_00011,order_00011,1878.1,INR,paid,2026-08-08T13:13:30
txn_00013,ledger_00013,order_00013,18749.05,INR,paid,2026-08-26T21:43:30
txn_00014,ledger_00014,order_00014,23037.69,INR,paid,2026-08-20T23:40:30
txn_00015,ledger_00015,order_00015,3561.29,INR,paid,2026-08-14T20:08:30
txn_00016,ledger_00016,order_00016,23572.64,INR,paid,2026-08-23T18:38:30
txn_00018,ledger_00018,order_00018,2103.0,INR,paid,2026-08-02T19:32:30
txn_00019,ledger_00019,order_00019,22568.3,INR,paid,2026-08-15T16:03:30
txn_00020,ledger_00020,order_00020,744.04,INR,paid,2026-08-11T10:02:30
txn_00021,ledger_00021,order_00021,24051.59,INR,paid,2026-08-27T04:16:30
txn_00023,ledger_00023,order_00023,24989.35,INR,paid,2026-08-13T06:22:30
txn_00024,ledger_00024,order_00024,14448.55,INR,paid,2026-08-08T23:21:30
txn_00025,ledger_00025,order_00025,11815.47,INR,paid,2026-08-30T15:37:30
txn_00026,ledger_00026,order_00026,11111.51,INR,paid,2026-08-13T15:49:30
txn_00027,ledger_00027,order_00027,4619.08,INR,paid,2026-08-27T15:20:30
txn_00028,ledger_00028,order_00028,10953.54,INR,paid,2026-08-23T09:05:30
txn_00029,ledger_00029,order_00029,24229.48,INR,paid,2026-08-22T09:22:30
txn_00031,ledger_00031,order_00031,8094.35,INR,paid,2026-08-05T18:15:30
txn_00032,ledger_00032,order_00032,21457.55,INR,paid,2026-08-16T08:14:00
txn_00034,ledger_00034,order_00034,7276.62,INR,paid,2026-08-19T05:24:30
txn_00035,ledger_00035,order_00035,20357.79,INR,paid,2026-08-26T08:51:00
txn_00036,ledger_00036,order_00036,1013.76,INR,paid,2026-08-05T00:11:30
txn_00037,ledger_00037,order_00037,7931.48,INR,paid,2026-08-15T17:06:30
txn_00038,ledger_00038,order_00038,3425.66,INR,paid,2026-08-19T09:28:30
txn_00039,ledger_00039,order_00039,20640.69,INR,paid,2026-08-01T01:15:30
txn_00040,ledger_00040,order_00040,16475.74,INR,paid,2026-08-25T16:39:30
txn_00041,ledger_00041,order_00041,11603.21,INR,paid,2026-08-03T11:12:30
txn_00042,ledger_00042,order_00042,4770.81,INR,paid,2026-08-17T11:09:30
txn_00044,ledger_00044,order_00044,15672.68,INR,paid,2026-08-03T08:22:30
txn_00045,ledger_00045,order_00045,5168.6,INR,paid,2026-08-25T23:53:30
txn_00047,ledger_00047,order_00047,11009.09,INR,paid,2026-08-23T01:26:30
txn_00048,ledger_00048,order_00048,3123.51,INR,paid,2026-08-29T16:09:30
txn_00049,ledger_00049,order_00049,15630.3,INR,paid,2026-08-11T21:22:30
txn_00050,ledger_00050,order_00050,7837.68,INR,paid,2026-08-01T14:56:30
txn_00051,ledger_00051,order_00051,13851.06,INR,paid,2026-08-05T05:48:30
txn_00052,ledger_00052,order-00052,5695.05,INR,paid,2026-08-06T03:55:30
txn_00053,ledger_00053,order_00053,11590.05,INR,paid,2026-08-06T08:18:30
txn_00054,ledger_00054,order_00054,16227.97,INR,paid,2026-08-08T00:10:30
txn_00055,ledger_00055,order_00055,12509.55,INR,paid,2026-08-14T06:47:30
txn_00056,ledger_00056,order_00056,12770.91,INR,paid,2026-08-13T10:39:30
txn_00057,ledger_00057,order_00057,10936.82,INR,paid,2026-08-22T23:01:30
txn_00059,ledger_00059,order_00059,3701.59,INR,paid,2026-08-09T16:11:30
txn_00060,ledger_00060,order_00060,23054.52,INR,paid,2026-08-24T03:08:30
txn_00061,ledger_00061,order_00061,18682.68,INR,paid,2026-08-07T05:06:30
txn_00062,ledger_00062,order_00062,21614.27,INR,paid,2026-08-13T13:44:30
txn_00063,ledger_00063,order_00063,19339.61,INR,paid,2026-08-19T21:13:30
txn_00064,ledger_00064,order_00064,8562.89,INR,paid,2026-08-24T02:35:30
txn_00065,ledger_00065,order_00065,6752.6,INR,paid,2026-08-01T02:48:30
txn_00066,ledger_00066,order_00066,7142.69,INR,paid,2026-08-14T14:06:30
txn_00066,ledger_00066,order_00066,7142.69,INR,paid,2026-08-14T14:06:30
txn_00067,ledger_00067,order_00067,20953.15,INR,paid,2026-08-27T09:25:30
txn_00068,ledger_00068,order_00068,24972.67,INR,paid,2026-08-23T06:49:30
txn_00069,ledger_00069,order_00069,21644.99,INR,paid,2026-08-21T07:44:30
txn_00070,ledger_00070,order_00070,13510.66,INR,paid,2026-08-16T16:58:30
txn_00071,ledger_00071,order_00071,8377.75,INR,paid,2026-08-25T17:34:30
txn_00072,ledger_00072,order_00072,9492.53,INR,paid,2026-08-15T15:28:30
txn_00073,ledger_00073,order_00073,21753.08,INR,paid,2026-08-11T20:50:30
txn_00074,ledger_00074,order_00074,14337.76,INR,paid,2026-08-11T15:06:30
txn_00075,ledger_00075,order_00075,21414.72,INR,paid,2026-08-19T16:40:30
txn_00076,ledger_00076,order_00076,1186.82,INR,paid,2026-08-22T12:36:30
txn_00076,ledger_00076,order_00076,1186.82,INR,paid,2026-08-22T12:36:30
txn_00077,ledger_00077,order_00077,17883.91,INR,paid,2026-08-18T08:24:30
txn_00078,ledger_00078,order_00078,16625.85,INR,paid,2026-08-30T16:10:30
txn_00078,ledger_00078,order_00078,16625.85,INR,paid,2026-08-30T16:10:30
txn_00079,ledger_00079,order_00079,24522.37,INR,paid,2026-08-23T13:01:30
txn_00080,ledger_00080,order_00080,24124.13,INR,paid,2026-08-06T17:53:30
txn_00080,ledger_00080,order_00080,24124.13,INR,paid,2026-08-06T17:53:30
txn_00082,ledger_00082,order_00082,8366.67,INR,paid,2026-08-05T13:37:30
txn_00083,ledger_00083,order_00083,21867.34,INR,paid,2026-08-21T00:55:30
txn_00084,ledger_00084,order_00084,2582.82,INR,paid,2026-08-21T19:05:30
txn_00085,ledger_00085,order_00085,482.16,INR,paid,2026-08-07T13:27:30
txn_00087,ledger_00087,order_00087,24251.92,INR,paid,2026-08-04T09:43:30
txn_00087,ledger_00087,order_00087,24251.92,INR,paid,2026-08-04T09:43:30
txn_00088,ledger_00088,order_00088,11790.32,INR,paid,2026-08-13T01:28:30
txn_00089,ledger_00089,order_00089,8530.17,INR,paid,2026-08-19T02:09:30
txn_00090,ledger_00090,order_00090,16280.93,INR,paid,2026-08-15T22:52:30
txn_00091,ledger_00091,order_00091,21544.3,INR,paid,2026-08-25T06:51:30
txn_00092,ledger_00092,order_00092,7984.86,INR,paid,2026-08-23T04:58:30
txn_00093,ledger_00093,order_00093,21822.34,INR,paid,2026-08-02T15:12:30
txn_00094,ledger_00094,order_00094,15474.74,INR,paid,2026-08-11T16:25:30
txn_00095,ledger_00095,order_00095,15815.91,INR,paid,2026-08-14T01:53:30
txn_00096,ledger_00096,order_00096,24935.91,INR,paid,2026-08-05T10:43:00
txn_00097,ledger_00097,order_00097,10905.89,INR,paid,2026-08-05T11:31:30
txn_00098,ledger_00098,order_00098,19033.21,INR,paid,2026-08-05T13:46:30
txn_00099,ledger_00099,order_00099,11147.6,INR,paid,2026-08-14T15:05:30
txn_00100,ledger_00100,order_00100,22595.26,INR,paid,2026-08-03T02:14:30
txn_00101,ledger_00101,order_00101,8358.95,INR,paid,2026-08-03T13:17:30
txn_00102,ledger_00102,order_00102,9433.54,INR,paid,2026-08-07T15:00:30
txn_00103,ledger_00103,order_00103,6180.52,INR,paid,2026-08-20T02:04:00
txn_00104,ledger_00104,order_00104,14191.61,INR,paid,2026-08-09T12:40:00
txn_00105,ledger_00105,order_00105,4332.59,INR,paid,2026-08-04T14:15:30
txn_00106,ledger_00106,order-00106,15276.35,INR,paid,2026-08-18T09:50:30
txn_00107,ledger_00107,order_00107,15530.79,INR,paid,2026-08-12T07:03:00
txn_00108,ledger_00108,order_00108,12606.31,INR,paid,2026-08-27T12:57:30
txn_00109,ledger_00109,order_00109,11582.63,INR,paid,2026-08-12T13:24:30
txn_00110,ledger_00110,order_00110,11543.31,INR,paid,2026-08-01T10:15:30
txn_00112,ledger_00112,order_00112,22540.11,INR,paid,2026-08-25T21:01:30
txn_00113,ledger_00113,order_00113,4033.59,INR,paid,2026-08-21T02:29:30
txn_00114,ledger_00114,order_00114,23636.37,INR,paid,2026-08-27T17:47:30
