transaction_id,settlement_id,payment_id,gross_amount,fee,tax,net_amount,currency,settlement_date
txn_00001,set_00001,pay_00001,10272.09,205.44,36.98,10029.67,INR,2026-08-30
txn_00002,set_00002,pay_00002,11800.82,236.02,42.48,11522.32,INR,2026-08-04
txn_00003,set_00003,pay_00003,5863.76,117.28,21.11,5725.37,INR,2026-08-15
txn_00004,set_00004,pay_00004,17604.39,352.09,63.38,17188.92,INR,2026-08-23
txn_00005,set_00005,pay_00005,1872.38,37.45,6.74,1828.19,INR,2026-08-13
txn_00006,set_00006,pay_00006,23105.39,462.11,83.18,22560.1,INR,2026-08-31
txn_00007,set_00007,pay_00007,14785.76,295.72,53.23,14436.81,INR,2026-08-12
txn_00008,set_00008,pay_00008,10685.96,213.72,38.47,10433.77,INR,2026-08-27
txn_00009,set_00009,pay_00009,5697.76,113.96,20.51,5563.29,INR,2026-08-09
txn_00010,set_00010,pay_00010,22719.44,454.39,81.79,22183.26,INR,2026-08-09
txn_00011,set_00011,pay_00011,1878.1,37.56,6.76,1833.78,INR,2026-08-10
txn_00012,set_00012,pay_00012,19836.45,396.73,71.41,19368.31,INR,2026-08-30
txn_00013,set_00013,pay_00013,18749.05,374.98,67.5,18306.57,INR,2026-08-28
txn_00014,set_00014,pay_00014,23037.69,460.75,82.94,22494.0,INR,2026-08-22
txn_00015,set_00015,pay_00015,3196.41,63.93,11.51,3120.97,INR,2026-08-16
txn_00016,set_00016,pay_00016,23572.64,471.45,84.86,23016.33,INR,2026-08-25
txn_00017,set_00017,pay_00017,13545.54,270.91,48.76,13225.87,INR,2026-08-22
txn_00018,set_00018,pay_00018,2103.0,42.06,7.57,2053.37,INR,2026-08-04
txn_00019,set_00019,pay_00019,22246.63,444.93,80.09,21721.61,INR,2026-08-17
txn_00020,set_00020,pay_00020,744.04,14.88,2.68,726.48,INR,2026-08-13
txn_00021,set_00021,pay_00021,24051.59,481.03,86.59,23483.97,INR,2026-08-29
txn_00022,set_00022,pay_00022,14719.36,294.39,52.99,14371.98,INR,2026-08-03
txn_00023,set_00023,pay_00023,24989.35,499.79,89.96,24399.6,INR,2026-08-15
txn_00024,set_00024,pay_00024,14448.55,288.97,52.01,14107.57,INR,2026-08-10
txn_00025,set_00025,pay_00025,11815.47,236.31,42.54,11536.62,INR,2026-09-01
txn_00026,set_00026,pay_00026,11111.51,222.23,40.0,10849.28,INR,2026-08-15
txn_00027,set_00027,pay_00027,4619.08,92.38,16.63,4510.07,INR,2026-08-29
txn_00028,set_00028,pay_00028,10953.54,219.07,39.43,10695.04,INR,2026-08-25
txn_00029,set_00029,pay_00029,24229.48,484.59,87.23,23657.66,INR,2026-08-24
txn_00030,set_00030,pay_00030,8764.23,175.28,31.55,8557.4,INR,2026-08-18
txn_00031,set_00031,pay_00031,8094.35,161.89,29.14,7903.32,INR,2026-08-07
txn_00032,set_00032,pay_00032,21457.55,429.15,77.25,20951.15,INR,2026-08-18
txn_00033,set_00033,pay_00033,10349.96,207.0,37.26,10105.7,INR,2026-08-25
txn_00034,set_00034,pay_00034,7276.62,145.53,26.2,7104.89,INR,2026-08-21
txn_00035,set_00035,pay_00035,20357.79,407.16,73.29,19877.34,INR,2026-08-28
txn_00036,set_00036,pay_00036,1013.76,20.28,3.65,989.83,INR,2026-08-07
txn_00037,set_00037,pay_00037,7931.48,158.63,28.55,7744.3,INR,2026-08-17
txn_00038,set_00038,pay_00038,2986.45,59.73,10.75,2915.97,INR,2026-08-21
txn_00039,set_00039,pay_00039,20640.69,412.81,74.31,20153.57,INR,2026-08-03
txn_00040,set_00040,pay_00040,16475.74,329.51,59.31,16086.92,INR,2026-08-27
txn_00041,set_00041,pay_00041,11603.21,232.06,41.77,11329.38,INR,2026-08-05
txn_00042,set_00042,pay_00042,4770.81,95.42,17.18,4658.21,INR,2026-08-19
txn_00043,set_00043,pay_00043,15603.58,312.07,56.17,15235.34,INR,2026-08-25
txn_00044,set_00044,pay_00044,15672.68,313.45,56.42,15302.81,INR,2026-08-05
txn_00045,set_00045,pay_00045,5168.6,103.37,18.61,5046.62,INR,2026-08-27
txn_00046,set_00046,pay_00046,3362.23,67.24,12.1,3282.89,INR,2026-08-16
txn_00047,set_00047,pay_00047,11009.09,220.18,39.63,10749.28,INR,2026-08-25
txn_00048,set_00048,pay_00048,3123.51,62.47,11.24,3049.8,INR,2026-08-31
txn_00049,set_00049,pay_00049,15260.9,305.22,54.94,14900.74,INR,2026-08-13
txn_00050,set_00050,pay_00050,7837.68,156.75,28.21,7652.72,INR,2026-08-03
txn_00051,set_00051,pay_00051,13851.06,277.02,49.86,13524.18,INR,2026-08-07
txn_00052,set_00052,pay_00052,5695.05,113.9,20.5,5560.65,INR,2026-08-08
txn_00053,set_00053,pay_00053,11590.05,231.8,41.72,11316.53,INR,2026-08-08
txn_00054,set_00054,pay_00054,16227.97,324.56,58.42,15844.99,INR,2026-08-10
